thisRow.t,notes,piloting,WelcomeScreen.started,WelcomeText.started,WelcomeScreenKeyboard.started,WelcomeScreen.stopped,WelcomeScreenKeyboard.keys,WelcomeScreenKeyboard.rt,WelcomeScreenKeyboard.duration,ConditionSelection.started,ConditionSelectionText.started,Condition1Button.started,Condition2Button.started,ConditionSelectionKeyboard.started,ConditionSelection.stopped,Condition1Button.numClicks,Condition1Button.timesOn,Condition1Button.timesOff,Condition2Button.numClicks,Condition2Button.timesOn,Condition2Button.timesOff,ConditionSelectionKeyboard.keys,ConditionSelectionKeyboard.rt,ConditionSelectionKeyboard.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,True,0.004583499976433814,0.010476000024937093,0.010476000024937093,1.1065237000584602,space,1.0867621999932453,None,,,,,,,,,,,,,,,,pilot,001,2026-03-07_13h38.51.508,experiment,,2026.1.1,144.39057073377782,2026-03-07 13h38.51.624700 -0500,
,,,,,,,,,,1.10759400005918,1.1143406999763101,1.1143406999763101,1.1143406999763101,1.1143406999763101,1.8591532000573352,0,,,0,,,a,0.7413307999959216,None,,,,,,,,,
