thisRow.t,notes,piloting,WelcomeScreen.started,WelcomeText.started,ContinueButton.started,WelcomeScreen.stopped,ContinueButton.numClicks,ContinueButton.timesOn,ContinueButton.timesOff,ConditionSelection.started,ConditionSelectionText.started,Condition1Button.started,Condition2Button.started,ConditionSelection.stopped,Condition1Button.numClicks,Condition1Button.timesOn,Condition1Button.timesOff,Condition2Button.numClicks,Condition2Button.timesOn,Condition2Button.timesOff,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,True,0.011723299976438284,0.020691099984105676,0.020691099984105676,3.97587600001134,1,[3.9549506999901496],[3.9549570999806747],,,,,,,,,,,,pilot,001,2026-03-06_13h38.44.844,experiment,,2026.1.1,142.6454163376515,2026-03-06 13h38.45.018667 -0500,
,,,,,,,,,,3.9768525999970734,3.9865532999974675,3.9865532999974675,3.9865532999974675,23.526218299986795,1,[19.539366299984977],[19.539372399973217],0,,,pilot,001,2026-03-06_13h38.44.844,experiment,,2026.1.1,142.6454163376515,2026-03-06 13h38.45.018667 -0500,
