thisRow.t,notes,piloting,WelcomeScreen.started,WelcomeText.started,WelcomeContinueButton.started,WelcomeScreen.stopped,WelcomeContinueButton.numClicks,WelcomeContinueButton.timesOn,WelcomeContinueButton.timesOff,ConditionSelection.started,ConditionSelectionText.started,Condition1Button.started,Condition2Button.started,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,True,0.006366100045852363,0.01212099997792393,0.01212099997792393,0.6250154000008479,1,[0.6127615000586957],[0.612766099977307],,,,,pilot,001,2026-03-07_12h25.56.048,experiment,,2026.1.1,143.63791761619117,2026-03-07 12h25.56.184205 -0500,
,,,,,,,,,,0.6255899000680074,0.6368335000006482,0.6368335000006482,0.6368335000006482,,,,,,,,,
