thisN,thisTrialN,thisRepN,Condition1New,Condition1Old,VideoInstructionsContinueButton.numClicks,VideoInstructionsContinueButton.timesOn,VideoInstructionsContinueButton.timesOff,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.corr,mouse.clicked_name,FirstList,SecondList,WordListInstructionsContinueButton.numClicks,WordListInstructionsContinueButton.timesOn,WordListInstructionsContinueButton.timesOff,WithinSubjects.thisRepN,WithinSubjects.thisTrialN,WithinSubjects.thisN,WithinSubjects.thisIndex,ScreenshotOrderTrial.thisRepN,ScreenshotOrderTrial.thisTrialN,ScreenshotOrderTrial.thisN,ScreenshotOrderTrial.thisIndex,WordListTrial.thisRepN,WordListTrial.thisTrialN,WordListTrial.thisN,WordListTrial.thisIndex,thisRow.t,notes,piloting,WelcomeScreen.started,WelcomeText.started,WelcomeContinueButton.started,WelcomeScreen.stopped,WelcomeContinueButton.numClicks,WelcomeContinueButton.timesOn,WelcomeContinueButton.timesOff,ConditionSelection.started,ConditionSelectionText.started,Condition1Button.started,Condition2Button.started,ConditionSelection.stopped,Condition1Button.numClicks,Condition1Button.timesOn,Condition1Button.timesOff,Condition2Button.numClicks,Condition2Button.timesOn,Condition2Button.timesOff,VideoInstructions.started,VideoInstructionsText.started,VideoInstructionsContinueButton.started,VideoInstructions.stopped,WithinSubjects.VideoInstructionsContinueButton.numClicks,WithinSubjects.VideoInstructionsContinueButton.timesOn,WithinSubjects.VideoInstructionsContinueButton.timesOff,ScreenshotOrderTask.started,ScreenshotLeft.started,ScreenshotRight.started,mouse.started,ScreenshotOrderTask.stopped,ScreenshotOrderTrial.mouse.x,ScreenshotOrderTrial.mouse.y,ScreenshotOrderTrial.mouse.leftButton,ScreenshotOrderTrial.mouse.midButton,ScreenshotOrderTrial.mouse.rightButton,ScreenshotOrderTrial.mouse.time,ScreenshotOrderTrial.mouse.corr,ScreenshotOrderTrial.mouse.clicked_name,WordListInstructions.started,WordListInstructionsText.started,WordListInstructionsContinueButton.started,WordListInstructions.stopped,WithinSubjects.WordListInstructionsContinueButton.numClicks,WithinSubjects.WordListInstructionsContinueButton.timesOn,WithinSubjects.WordListInstructionsContinueButton.timesOff,WordListStudy.started,WordListStudyText.started,WordListStudy.stopped,WordListStudyText.stopped,WordListDistraction.started,WordListDistractionText.started,WordListDistractionText.stopped,WordListDistraction.stopped,WordListTest.started,WordListTest.stopped,BreakOrFinish.started,BreakOrFinish.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0.00695009995251894,0.012703799991868436,0.012703799991868436,0.5359461000189185,1,[0.523083999985829],[0.5230888999067247],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2026-03-07_13h05.30.565,experiment,,2026.1.1,143.93065986626038,2026-03-07 13h05.30.714299 -0500,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5366017000051215,0.5469704000279307,0.5469704000279307,0.5469704000279307,0.945593599928543,1,[0.3905961000127718],[0.3905998000409454],0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2026-03-07_13h05.30.565,experiment,,2026.1.1,143.93065986626038,2026-03-07 13h05.30.714299 -0500,
0,0,0,new2.jpg,old2.jpg,1,[0.3636891000205651],[0.36369330005254596],[-0.18333333333333332],[-0.16],[1],[0],[0],[0.5663138000527397],[0],['ScreenshotLeft'],,,,,,0,0,0,0,0,0,0,1,,,,,1.3318565000081435,,,,,,,,,,,,,,,,,,,,,0.9461751999333501,0.9495668000308797,0.9495668000308797,1.3133775999303907,1,[0.3636891000205651],[0.36369330005254596],1.3238180000334978,1.3318565000081435,1.3318565000081435,0.010406199959106743,1.8902306000236422,[-0.18333333333333332],[-0.16],[1],[0],[0],[0.5663138000527397],[0],['ScreenshotLeft'],,,,,,,,,,,,,,,,,,,,pilot,001,2026-03-07_13h05.30.565,experiment,,2026.1.1,143.93065986626038,2026-03-07 13h05.30.714299 -0500,
1,1,0,new1.jpg,old1.jpg,1,[0.3636891000205651],[0.36369330005254596],[-0.18333333333333332],[-0.16],[1],[0],[0],[0.2833344000391662],[0],['ScreenshotLeft'],,,,,,0,0,0,0,0,1,1,0,,,,,1.9015328999375924,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.8926370999542996,1.9015328999375924,1.9015328999375924,0.002359700039960444,2.1760892999591306,[-0.18333333333333332],[-0.16],[1],[0],[0],[0.2833344000391662],[0],['ScreenshotLeft'],,,,,,,,,,,,,,,,,,,,pilot,001,2026-03-07_13h05.30.565,experiment,,2026.1.1,143.93065986626038,2026-03-07 13h05.30.714299 -0500,
0,0,0,,,1,[0.3636891000205651],[0.36369330005254596],,,,,,,,,apple,banana,1,[0.45339869998861104],[0.45340259990189224],0,0,0,0,,,,,0,0,0,0,2.651434600003995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.177451099967584,2.186212099972181,2.186212099972181,2.639739500009455,1,[0.45339869998861104],[0.45340259990189224],2.643921299953945,2.651434600003995,3.6399396000197157,,,,,,,,,,pilot,001,2026-03-07_13h05.30.565,experiment,,2026.1.1,143.93065986626038,2026-03-07 13h05.30.714299 -0500,
1,1,0,,,1,[0.3636891000205651],[0.36369330005254596],,,,,,,,,muffin,cupcake,1,[0.45339869998861104],[0.45340259990189224],0,0,0,0,,,,,0,1,1,1,3.645247499924153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.6415858999826014,3.645247499924153,4.633018899941817,4.6383480000076815,,,,,,,,,pilot,001,2026-03-07_13h05.30.565,experiment,,2026.1.1,143.93065986626038,2026-03-07 13h05.30.714299 -0500,
2,2,0,,,1,[0.3636891000205651],[0.36369330005254596],,,,,,,,,orange,tangerine,1,[0.45339869998861104],[0.45340259990189224],0,0,0,0,,,,,0,2,2,2,4.6383480000076815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.634354899986647,4.6383480000076815,5.626330600003712,5.631632399978116,,,,,,,,,pilot,001,2026-03-07_13h05.30.565,experiment,,2026.1.1,143.93065986626038,2026-03-07 13h05.30.714299 -0500,
3,3,0,,,1,[0.3636891000205651],[0.36369330005254596],,,,,,,,,cat,dog,1,[0.45339869998861104],[0.45340259990189224],0,0,0,0,,,,,0,3,3,3,5.631632399978116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.627695799921639,5.631632399978116,6.619286600034684,6.624529500026256,,,,,,,,,pilot,001,2026-03-07_13h05.30.565,experiment,,2026.1.1,143.93065986626038,2026-03-07 13h05.30.714299 -0500,
4,4,0,,,1,[0.3636891000205651],[0.36369330005254596],,,,,,,,,pizza,beer,1,[0.45339869998861104],[0.45340259990189224],0,0,0,0,,,,,0,4,4,4,6.624529500026256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.621689799940214,6.631707999971695,7.618941999971867,7.624548799940385,,,,,,,,,pilot,001,2026-03-07_13h05.30.565,experiment,,2026.1.1,143.93065986626038,2026-03-07 13h05.30.714299 -0500,
0,0,0,,,1,[0.3636891000205651],[0.36369330005254596],,,,,,,,,,,1,[0.45339869998861104],[0.45340259990189224],0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.619607100030407,7.631434399983846,8.624539999989793,8.618934900034219,8.618951699929312,8.618972999975085,8.618984399945475,8.619001499959268,pilot,001,2026-03-07_13h05.30.565,experiment,,2026.1.1,143.93065986626038,2026-03-07 13h05.30.714299 -0500,
