thisN,thisTrialN,thisRepN,Condition1New,Condition1Old,VideoInstructionsContinueButton.numClicks,VideoInstructionsContinueButton.timesOn,VideoInstructionsContinueButton.timesOff,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.corr,mouse.clicked_name,FirstList,SecondList,WordListInstructionsContinueButton.numClicks,WordListInstructionsContinueButton.timesOn,WordListInstructionsContinueButton.timesOff,WithinSubjects.thisRepN,WithinSubjects.thisTrialN,WithinSubjects.thisN,WithinSubjects.thisIndex,ScreenshotOrderTrial.thisRepN,ScreenshotOrderTrial.thisTrialN,ScreenshotOrderTrial.thisN,ScreenshotOrderTrial.thisIndex,WordListTrial.thisRepN,WordListTrial.thisTrialN,WordListTrial.thisN,WordListTrial.thisIndex,thisRow.t,notes,piloting,WelcomeScreen.started,WelcomeText.started,WelcomeContinueButton.started,WelcomeScreen.stopped,WelcomeContinueButton.numClicks,WelcomeContinueButton.timesOn,WelcomeContinueButton.timesOff,ConditionSelection.started,ConditionSelectionText.started,Condition1Button.started,Condition2Button.started,ConditionSelection.stopped,Condition1Button.numClicks,Condition1Button.timesOn,Condition1Button.timesOff,Condition2Button.numClicks,Condition2Button.timesOn,Condition2Button.timesOff,VideoInstructions.started,VideoInstructionsText.started,VideoInstructionsContinueButton.started,VideoInstructions.stopped,WithinSubjects.VideoInstructionsContinueButton.numClicks,WithinSubjects.VideoInstructionsContinueButton.timesOn,WithinSubjects.VideoInstructionsContinueButton.timesOff,ScreenshotOrderTask.started,ScreenshotLeft.started,ScreenshotRight.started,mouse.started,ScreenshotOrderTask.stopped,ScreenshotOrderTrial.mouse.x,ScreenshotOrderTrial.mouse.y,ScreenshotOrderTrial.mouse.leftButton,ScreenshotOrderTrial.mouse.midButton,ScreenshotOrderTrial.mouse.rightButton,ScreenshotOrderTrial.mouse.time,ScreenshotOrderTrial.mouse.corr,ScreenshotOrderTrial.mouse.clicked_name,WordListInstructions.started,WordListInstructionsText.started,WordListInstructionsContinueButton.started,WordListInstructions.stopped,WithinSubjects.WordListInstructionsContinueButton.numClicks,WithinSubjects.WordListInstructionsContinueButton.timesOn,WithinSubjects.WordListInstructionsContinueButton.timesOff,WordListStudy.started,WordListStudyText.started,WordListStudyText.stopped,WordListStudy.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,0.001887100050225854,0.004610799951478839,0.004610799951478839,0.7776421000016853,1,[0.7728745000204071],[0.7728789000539109],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,483917,001,2026-03-07_12h53.38.205,experiment,,2026.1.1,143.56800962832233,2026-03-07 12h53.38.361146 -0500,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7782938999589533,0.7843298999359831,0.7843298999359831,0.7843298999359831,1.893433399964124,1,[1.0965046000201255],[1.096508500049822],0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,483917,001,2026-03-07_12h53.38.205,experiment,,2026.1.1,143.56800962832233,2026-03-07 12h53.38.361146 -0500,
0,0,0,new1.png,old1.png,1,[0.5601704000728205],[0.5601767000043765],[0.22870370370370371],[-0.03611111111111111],[1],[0],[0],[2.079471300006844],[],[None],,,,,,0,0,0,0,0,0,0,0,,,,,2.4736426000017673,,,,,,,,,,,,,,,,,,,,,1.8940369000192732,1.8976603000191972,1.8976603000191972,2.4579930000472814,1,[0.5601704000728205],[0.5601767000043765],2.4708594999974594,2.4736426000017673,2.4736426000017673,0.012828400009311736,4.550582199939527,[0.22870370370370371],[-0.03611111111111111],[1],[0],[0],[2.079471300006844],[],[None],,,,,,,,,,,,483917,001,2026-03-07_12h53.38.205,experiment,,2026.1.1,143.56800962832233,2026-03-07 12h53.38.361146 -0500,
1,1,0,new2.png,old2.png,1,[0.5601704000728205],[0.5601767000043765],[-0.18518518518518517],[-0.03796296296296296],[1],[0],[0],[0.8496851999079809],[0],['ScreenshotLeft'],,,,,,0,0,0,0,0,1,1,1,,,,,4.557297299965285,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.55491449998226,4.557297299965285,4.557297299965285,0.004207200021483004,5.4047862000297755,[-0.18518518518518517],[-0.03796296296296296],[1],[0],[0],[0.8496851999079809],[0],['ScreenshotLeft'],,,,,,,,,,,,483917,001,2026-03-07_12h53.38.205,experiment,,2026.1.1,143.56800962832233,2026-03-07 12h53.38.361146 -0500,
0,0,0,,,1,[0.5601704000728205],[0.5601767000043765],,,,,,,,,apple,banana,1,[0.8428926999913529],[0.8428985000355169],0,0,0,0,,,,,0,0,0,0,6.263199100038037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.408058600034565,5.413788800011389,5.413788800011389,6.256993500050157,1,[0.8428926999913529],[0.8428985000355169],6.261300100013614,6.263199100038037,7.255881099961698,7.249349999940023,483917,001,2026-03-07_12h53.38.205,experiment,,2026.1.1,143.56800962832233,2026-03-07 12h53.38.361146 -0500,
1,1,0,,,1,[0.5601704000728205],[0.5601767000043765],,,,,,,,,muffin,cupcake,1,[0.8428926999913529],[0.8428985000355169],0,0,0,0,,,,,0,1,1,1,7.255881099961698,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.253258700016886,7.255881099961698,8.249483000021428,8.242576699936762,483917,001,2026-03-07_12h53.38.205,experiment,,2026.1.1,143.56800962832233,2026-03-07 12h53.38.361146 -0500,
2,2,0,,,1,[0.5601704000728205],[0.5601767000043765],,,,,,,,,orange,tangerine,1,[0.8428926999913529],[0.8428985000355169],0,0,0,0,,,,,0,2,2,2,8.249483000021428,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.245330599951558,8.249483000021428,9.242640599957667,9.236024499987252,483917,001,2026-03-07_12h53.38.205,experiment,,2026.1.1,143.56800962832233,2026-03-07 12h53.38.361146 -0500,
3,3,0,,,,,,,,,,,,,,cat,dog,,,,,,,,,,,,0,3,3,3,9.242640599957667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.239741600002162,9.249214999959804,,,,,,,,,,,
