thisRow.t,notes,piloting,WelcomeScreen.started,WelcomeText.started,WelcomeScreenKeyboard.started,WelcomeScreen.stopped,WelcomeScreenKeyboard.keys,WelcomeScreenKeyboard.rt,WelcomeScreenKeyboard.duration,ConditionSelection.started,ConditionSelectionText.started,Condition1Button.started,Condition2Button.started,ConditionSelectionKeyboard.started,ConditionSelection.stopped,Condition1Button.numClicks,Condition1Button.timesOn,Condition1Button.timesOff,Condition2Button.numClicks,Condition2Button.timesOn,Condition2Button.timesOff,ConditionSelectionKeyboard.keys,ConditionSelectionKeyboard.rt,ConditionSelectionKeyboard.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,True,0.00789819995407015,0.014031499973498285,0.014031499973498285,0.9143990000011399,space,0.8968793000094593,None,,,,,,,,,,,,,,,,pilot,001,2026-03-07_13h37.33.116,experiment,,2026.1.1,143.76036876626196,2026-03-07 13h37.33.234901 -0500,
,,,,,,,,,,0.9155873999698088,0.9434509000275284,0.9434509000275284,0.9434509000275284,0.9434509000275284,2.668718999950215,0,,,0,,,a,1.7244689000071958,None,,,,,,,,,
