thisN,thisTrialN,thisRepN,Condition1New,Condition1Old,VideoInstructionsContinueButton.numClicks,VideoInstructionsContinueButton.timesOn,VideoInstructionsContinueButton.timesOff,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.corr,mouse.clicked_name,FirstList,SecondList,WordListInstructionsContinueButton.numClicks,WordListInstructionsContinueButton.timesOn,WordListInstructionsContinueButton.timesOff,WithinSubjects.thisRepN,WithinSubjects.thisTrialN,WithinSubjects.thisN,WithinSubjects.thisIndex,ScreenshotOrderTrial.thisRepN,ScreenshotOrderTrial.thisTrialN,ScreenshotOrderTrial.thisN,ScreenshotOrderTrial.thisIndex,WordListTrial.thisRepN,WordListTrial.thisTrialN,WordListTrial.thisN,WordListTrial.thisIndex,thisRow.t,notes,piloting,WelcomeScreen.started,WelcomeText.started,WelcomeContinueButton.started,WelcomeScreen.stopped,WelcomeContinueButton.numClicks,WelcomeContinueButton.timesOn,WelcomeContinueButton.timesOff,ConditionSelection.started,ConditionSelectionText.started,Condition1Button.started,Condition2Button.started,ConditionSelection.stopped,Condition1Button.numClicks,Condition1Button.timesOn,Condition1Button.timesOff,Condition2Button.numClicks,Condition2Button.timesOn,Condition2Button.timesOff,VideoInstructions.started,VideoInstructionsText.started,VideoInstructionsContinueButton.started,VideoInstructions.stopped,WithinSubjects.VideoInstructionsContinueButton.numClicks,WithinSubjects.VideoInstructionsContinueButton.timesOn,WithinSubjects.VideoInstructionsContinueButton.timesOff,ScreenshotOrderTask.started,ScreenshotLeft.started,ScreenshotRight.started,mouse.started,ScreenshotOrderTask.stopped,ScreenshotOrderTrial.mouse.x,ScreenshotOrderTrial.mouse.y,ScreenshotOrderTrial.mouse.leftButton,ScreenshotOrderTrial.mouse.midButton,ScreenshotOrderTrial.mouse.rightButton,ScreenshotOrderTrial.mouse.time,ScreenshotOrderTrial.mouse.corr,ScreenshotOrderTrial.mouse.clicked_name,WordListInstructions.started,WordListInstructionsText.started,WordListInstructionsContinueButton.started,WordListInstructions.stopped,WithinSubjects.WordListInstructionsContinueButton.numClicks,WithinSubjects.WordListInstructionsContinueButton.timesOn,WithinSubjects.WordListInstructionsContinueButton.timesOff,WordListStudy.started,WordListStudyText.started,WordListStudyText.stopped,WordListStudy.stopped,WordListDistraction.started,WordListDistractionText.started,WordListDistractionText.stopped,WordListDistraction.stopped,WordListTest.started,WordListTest.stopped,BreakOrFinish.started,BreakOrFinish.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0.0061830999329686165,0.011916799936443567,0.011916799936443567,0.5348905000137165,1,[0.522817200049758],[0.5228216000832617],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2026-03-07_12h51.33.849,experiment,,2026.1.1,144.30764067031132,2026-03-07 12h51.34.014182 -0500,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5355720999650657,0.5461841999785975,0.5461841999785975,0.5461841999785975,0.9515752999577671,1,[0.39769300003536046],[0.3976972000673413],0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2026-03-07_12h51.33.849,experiment,,2026.1.1,144.30764067031132,2026-03-07 12h51.34.014182 -0500,
0,0,0,new1.png,old1.png,1,[0.7313827000325546],[0.7313863999443129],[-0.17833333333333334],[-0.03333333333333333],[1],[0],[0],[0.8989941000472754],[0],['ScreenshotLeft'],,,,,,0,0,0,0,0,0,0,0,,,,,1.7163196000037715,,,,,,,,,,,,,,,,,,,,,0.9521332000149414,0.962468900019303,0.962468900019303,1.6939715999178588,1,[0.7313827000325546],[0.7313863999443129],1.7055458999238908,1.7163196000037715,1.7163196000037715,0.011544400011189282,2.6046435999451205,[-0.17833333333333334],[-0.03333333333333333],[1],[0],[0],[0.8989941000472754],[0],['ScreenshotLeft'],,,,,,,,,,,,,,,,,,,,pilot,001,2026-03-07_12h51.33.849,experiment,,2026.1.1,144.30764067031132,2026-03-07 12h51.34.014182 -0500,
1,1,0,new2.png,old2.png,1,[0.7313827000325546],[0.7313863999443129],[-0.17833333333333334],[-0.03333333333333333],[1],[0],[0],[0.5934522999450564],[0],['ScreenshotLeft'],,,,,,0,0,0,0,0,1,1,1,,,,,2.615966000012122,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.6072871999349445,2.615966000012122,2.615966000012122,0.0025906999362632632,3.2008372999262065,[-0.17833333333333334],[-0.03333333333333333],[1],[0],[0],[0.5934522999450564],[0],['ScreenshotLeft'],,,,,,,,,,,,,,,,,,,,pilot,001,2026-03-07_12h51.33.849,experiment,,2026.1.1,144.30764067031132,2026-03-07 12h51.34.014182 -0500,
0,0,0,,,1,[0.7313827000325546],[0.7313863999443129],,,,,,,,,apple,banana,1,[0.8764738000463694],[0.8764772999566048],0,0,0,0,,,,,0,0,0,0,4.094863999984227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.201835499959998,3.206387999933213,3.206387999933213,4.082975199911743,1,[0.8764738000463694],[0.8764772999566048],4.087427899939939,4.094863999984227,5.088644200004637,5.083043899969198,,,,,,,,,pilot,001,2026-03-07_12h51.33.849,experiment,,2026.1.1,144.30764067031132,2026-03-07 12h51.34.014182 -0500,
1,1,0,,,1,[0.7313827000325546],[0.7313863999443129],,,,,,,,,muffin,cupcake,1,[0.8764738000463694],[0.8764772999566048],0,0,0,0,,,,,0,1,1,1,5.088644200004637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.084826699923724,5.088644200004637,6.081388899940066,6.075759999919683,,,,,,,,,pilot,001,2026-03-07_12h51.33.849,experiment,,2026.1.1,144.30764067031132,2026-03-07 12h51.34.014182 -0500,
2,2,0,,,1,[0.7313827000325546],[0.7313863999443129],,,,,,,,,orange,tangerine,1,[0.8764738000463694],[0.8764772999566048],0,0,0,0,,,,,0,2,2,2,6.081388899940066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.077317799907178,6.081388899940066,7.074753199936822,7.070105199934915,,,,,,,,,pilot,001,2026-03-07_12h51.33.849,experiment,,2026.1.1,144.30764067031132,2026-03-07 12h51.34.014182 -0500,
3,3,0,,,1,[0.7313827000325546],[0.7313863999443129],,,,,,,,,cat,dog,1,[0.8764738000463694],[0.8764772999566048],0,0,0,0,,,,,0,3,3,3,7.074753199936822,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.071962799993344,7.074753199936822,8.067576300003566,8.062059499905445,,,,,,,,,pilot,001,2026-03-07_12h51.33.849,experiment,,2026.1.1,144.30764067031132,2026-03-07 12h51.34.014182 -0500,
4,4,0,,,1,[0.7313827000325546],[0.7313863999443129],,,,,,,,,pizza,beer,1,[0.8764738000463694],[0.8764772999566048],0,0,0,0,,,,,0,4,4,4,8.067576300003566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.064520899904892,8.074881899985485,9.067791700013913,9.062227400019765,,,,,,,,,pilot,001,2026-03-07_12h51.33.849,experiment,,2026.1.1,144.30764067031132,2026-03-07 12h51.34.014182 -0500,
0,0,0,,,1,[0.7313827000325546],[0.7313863999443129],,,,,,,,,,,1,[0.8764738000463694],[0.8764772999566048],0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.06299200002104,9.07467739994172,10.069241799996234,10.06317889993079,10.063203600002453,10.063237699912861,10.063256099936552,10.063285199925303,pilot,001,2026-03-07_12h51.33.849,experiment,,2026.1.1,144.30764067031132,2026-03-07 12h51.34.014182 -0500,
