thisN,thisTrialN,thisRepN,Condition1New,Condition1Old,StimulusLinkButton.numClicks,StimulusLinkButton.timesOn,StimulusLinkButton.timesOff,ScreenshotLeftButton.numClicks,ScreenshotLeftButton.timesOn,ScreenshotLeftButton.timesOff,WithinSubjects.thisRepN,WithinSubjects.thisTrialN,WithinSubjects.thisN,WithinSubjects.thisIndex,ScreenshotOrderTrial.thisRepN,ScreenshotOrderTrial.thisTrialN,ScreenshotOrderTrial.thisN,ScreenshotOrderTrial.thisIndex,WordListTrial.thisRepN,WordListTrial.thisTrialN,WordListTrial.thisN,WordListTrial.thisIndex,thisRow.t,notes,piloting,WelcomeScreen.started,WelcomeText.started,ContinueButton.started,WelcomeScreen.stopped,ContinueButton.numClicks,ContinueButton.timesOn,ContinueButton.timesOff,ConditionSelection.started,ConditionSelectionText.started,Condition1Button.started,Condition2Button.started,ConditionSelection.stopped,Condition1Button.numClicks,Condition1Button.timesOn,Condition1Button.timesOff,Condition2Button.numClicks,Condition2Button.timesOn,Condition2Button.timesOff,StimulusLink.started,InstructionText.started,StimulusLinkButton.started,StimulusLink.stopped,WithinSubjects.StimulusLinkButton.numClicks,WithinSubjects.StimulusLinkButton.timesOn,WithinSubjects.StimulusLinkButton.timesOff,ScreenshotOrderTask.started,ScreenshotLeft.started,ScreenshotRight.started,ScreenshotLeftButton.started,ScreenshotOrderTask.stopped,ScreenshotOrderTrial.ScreenshotLeftButton.numClicks,ScreenshotOrderTrial.ScreenshotLeftButton.timesOn,ScreenshotOrderTrial.ScreenshotLeftButton.timesOff,WordListInstructions.started,WordListInstructions.stopped,WordListStudy.started,WordListStudy.stopped,DistractionTask.started,DistractionTask.stopped,WordListTest.started,WordListTest.stopped,BreakOrFinish.started,BreakOrFinish.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,True,0.008416599943302572,0.014010599930770695,0.014010599930770695,0.862720699980855,1,[0.8486000000266358],[0.8486035000532866],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2026-03-07_12h07.01.858,experiment,,2026.1.1,143.77421688416385,2026-03-07 12h07.01.986850 -0500,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8632937999209389,0.8685247999383137,0.8685247999383137,0.8685247999383137,1.4751714000012726,1,[0.5984275999944657],[0.5984315000241622],0,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2026-03-07_12h07.01.858,experiment,,2026.1.1,143.77421688416385,2026-03-07 12h07.01.986850 -0500,
0,0,0,new2.png,old2.png,1,[0.5023507999721915],[0.5023550000041723],1,[3.8910481999628246],[3.8910510999849066],0,0,0,0,0,0,0,1,,,,,2.000408299965784,,,,,,,,,,,,,,,,,,,,,1.4757185999769717,1.4858016999205574,1.4858016999205574,1.9882748998934403,1,[0.5023507999721915],[0.5023550000041723],1.993318699998781,2.000408299965784,2.000408299965784,2.000408299965784,3.8911397999618202,1,[3.8910481999628246],[3.8910510999849066],,,,,,,,,,,pilot,001,2026-03-07_12h07.01.858,experiment,,2026.1.1,143.77421688416385,2026-03-07 12h07.01.986850 -0500,
1,1,0,new1.png,old1.png,1,[0.5023507999721915],[0.5023550000041723],1,[7.058015599963255],[7.05801939999219],0,0,0,0,0,1,1,0,,,,,3.896492899977602,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.89150669996161,3.896492899977602,3.896492899977602,3.896492899977602,7.0581180999288335,1,[7.058015599963255],[7.05801939999219],,,,,,,,,,,pilot,001,2026-03-07_12h07.01.858,experiment,,2026.1.1,143.77421688416385,2026-03-07 12h07.01.986850 -0500,
2,0,1,new2.png,old2.png,1,[0.5023507999721915],[0.5023550000041723],1,[7.544260499998927],[7.544263899908401],0,0,0,0,1,0,2,1,,,,,7.0637911999365315,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0583020999329165,7.0637911999365315,7.0637911999365315,7.0637911999365315,7.54435919993557,1,[7.544260499998927],[7.544263899908401],,,,,,,,,,,pilot,001,2026-03-07_12h07.01.858,experiment,,2026.1.1,143.77421688416385,2026-03-07 12h07.01.986850 -0500,
3,1,1,new1.png,old1.png,1,[0.5023507999721915],[0.5023550000041723],1,[7.773368499940261],[7.773372099967673],0,0,0,0,1,1,3,0,,,,,7.550126299960539,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.54454159992747,7.550126299960539,7.550126299960539,7.550126299960539,7.773470299900509,1,[7.773368499940261],[7.773372099967673],,,,,,,,,,,pilot,001,2026-03-07_12h07.01.858,experiment,,2026.1.1,143.77421688416385,2026-03-07 12h07.01.986850 -0500,
0,0,0,,,1,[0.5023507999721915],[0.5023550000041723],,,,0,0,0,0,,,,,0,0,0,0,7.778774899896234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.774154499988072,7.774184499983676,7.774292399990372,7.774312499910593,,,,,,,pilot,001,2026-03-07_12h07.01.858,experiment,,2026.1.1,143.77421688416385,2026-03-07 12h07.01.986850 -0500,
1,0,1,,,1,[0.5023507999721915],[0.5023550000041723],,,,0,0,0,0,,,,,1,0,1,0,7.778774899896234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.774360599927604,7.774377399939112,,,,,,,pilot,001,2026-03-07_12h07.01.858,experiment,,2026.1.1,143.77421688416385,2026-03-07 12h07.01.986850 -0500,
2,0,2,,,1,[0.5023507999721915],[0.5023550000041723],,,,0,0,0,0,,,,,2,0,2,0,7.778774899896234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.774416500004008,7.774432100006379,,,,,,,pilot,001,2026-03-07_12h07.01.858,experiment,,2026.1.1,143.77421688416385,2026-03-07 12h07.01.986850 -0500,
3,0,3,,,1,[0.5023507999721915],[0.5023550000041723],,,,0,0,0,0,,,,,3,0,3,0,7.778774899896234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.7745466999476776,7.77456379996147,,,,,,,pilot,001,2026-03-07_12h07.01.858,experiment,,2026.1.1,143.77421688416385,2026-03-07 12h07.01.986850 -0500,
4,0,4,,,1,[0.5023507999721915],[0.5023550000041723],,,,0,0,0,0,,,,,4,0,4,0,7.778774899896234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.774604099919088,7.774620099924505,,,,,,,pilot,001,2026-03-07_12h07.01.858,experiment,,2026.1.1,143.77421688416385,2026-03-07 12h07.01.986850 -0500,
5,0,5,,,1,[0.5023507999721915],[0.5023550000041723],,,,0,0,0,0,,,,,5,0,5,0,7.778774899896234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.7746577999787405,7.7746729999780655,,,,,,,pilot,001,2026-03-07_12h07.01.858,experiment,,2026.1.1,143.77421688416385,2026-03-07 12h07.01.986850 -0500,
6,0,6,,,1,[0.5023507999721915],[0.5023550000041723],,,,0,0,0,0,,,,,6,0,6,0,7.778774899896234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.774709799909033,7.774725099909119,,,,,,,pilot,001,2026-03-07_12h07.01.858,experiment,,2026.1.1,143.77421688416385,2026-03-07 12h07.01.986850 -0500,
7,0,7,,,1,[0.5023507999721915],[0.5023550000041723],,,,0,0,0,0,,,,,7,0,7,0,7.778774899896234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.7747619999572635,7.774776899954304,,,,,,,pilot,001,2026-03-07_12h07.01.858,experiment,,2026.1.1,143.77421688416385,2026-03-07 12h07.01.986850 -0500,
8,0,8,,,1,[0.5023507999721915],[0.5023550000041723],,,,0,0,0,0,,,,,8,0,8,0,7.778774899896234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.774813600000925,7.7748283999972045,,,,,,,pilot,001,2026-03-07_12h07.01.858,experiment,,2026.1.1,143.77421688416385,2026-03-07 12h07.01.986850 -0500,
9,0,9,,,1,[0.5023507999721915],[0.5023550000041723],,,,0,0,0,0,,,,,9,0,9,0,7.778774899896234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.774864999926649,7.774880099925213,,,,,,,pilot,001,2026-03-07_12h07.01.858,experiment,,2026.1.1,143.77421688416385,2026-03-07 12h07.01.986850 -0500,
0,0,0,,,1,[0.5023507999721915],[0.5023550000041723],,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.775367599911988,7.775388399953954,7.775397299905308,7.7754115998977795,7.775418699951842,7.775432599941269,pilot,001,2026-03-07_12h07.01.858,experiment,,2026.1.1,143.77421688416385,2026-03-07 12h07.01.986850 -0500,
