thisRow.t,notes,piloting,WelcomeScreen.started,WelcomeText.started,ContinueButton.started,WelcomeScreen.stopped,ContinueButton.numClicks,ContinueButton.timesOn,ContinueButton.timesOff,ConditionSelection.started,ConditionSelectionText.started,Condition1Button.started,Condition2Button.started,ConditionSelection.stopped,Condition1Button.numClicks,Condition1Button.timesOn,Condition1Button.timesOff,Condition2Button.numClicks,Condition2Button.timesOn,Condition2Button.timesOff,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,True,0.015076400013640523,0.023739200027193874,0.023739200027193874,1.4089690999826416,1,[1.3849743000464514],[1.3849823999917135],,,,,,,,,,,,pilot,001,2026-03-06_13h41.58.213,experiment,,2026.1.1,144.18716651916003,2026-03-06 13h41.58.397353 -0500,
,,,,,,,,,,1.4099146000226028,1.4198135000187904,1.4198135000187904,1.4198135000187904,7.416700100002345,1,[5.9965306999511085],[5.9965378000051714],0,,,pilot,001,2026-03-06_13h41.58.213,experiment,,2026.1.1,144.18716651916003,2026-03-06 13h41.58.397353 -0500,
