thisN,thisTrialN,thisRepN,Condition1New,Condition1Old,VideoInstructionsContinueButton.numClicks,VideoInstructionsContinueButton.timesOn,VideoInstructionsContinueButton.timesOff,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.corr,mouse.clicked_name,FirstList,SecondList,WordListInstructionsContinueButton.numClicks,WordListInstructionsContinueButton.timesOn,WordListInstructionsContinueButton.timesOff,WithinSubjects.thisRepN,WithinSubjects.thisTrialN,WithinSubjects.thisN,WithinSubjects.thisIndex,ScreenshotOrderTrial.thisRepN,ScreenshotOrderTrial.thisTrialN,ScreenshotOrderTrial.thisN,ScreenshotOrderTrial.thisIndex,WordListTrial.thisRepN,WordListTrial.thisTrialN,WordListTrial.thisN,WordListTrial.thisIndex,thisRow.t,notes,piloting,WelcomeScreen.started,WelcomeText.started,WelcomeContinueButton.started,WelcomeScreen.stopped,WelcomeContinueButton.numClicks,WelcomeContinueButton.timesOn,WelcomeContinueButton.timesOff,ConditionSelection.started,ConditionSelectionText.started,Condition1Button.started,Condition2Button.started,ConditionSelection.stopped,Condition1Button.numClicks,Condition1Button.timesOn,Condition1Button.timesOff,Condition2Button.numClicks,Condition2Button.timesOn,Condition2Button.timesOff,VideoInstructions.started,VideoInstructionsText.started,VideoInstructionsContinueButton.started,VideoInstructions.stopped,WithinSubjects.VideoInstructionsContinueButton.numClicks,WithinSubjects.VideoInstructionsContinueButton.timesOn,WithinSubjects.VideoInstructionsContinueButton.timesOff,ScreenshotOrderTask.started,ScreenshotLeft.started,ScreenshotRight.started,mouse.started,ScreenshotOrderTask.stopped,ScreenshotOrderTrial.mouse.x,ScreenshotOrderTrial.mouse.y,ScreenshotOrderTrial.mouse.leftButton,ScreenshotOrderTrial.mouse.midButton,ScreenshotOrderTrial.mouse.rightButton,ScreenshotOrderTrial.mouse.time,ScreenshotOrderTrial.mouse.corr,ScreenshotOrderTrial.mouse.clicked_name,WordListInstructions.started,WordListInstructionsText.started,WordListInstructionsContinueButton.started,WordListInstructions.stopped,WithinSubjects.WordListInstructionsContinueButton.numClicks,WithinSubjects.WordListInstructionsContinueButton.timesOn,WithinSubjects.WordListInstructionsContinueButton.timesOff,WordListStudy.started,WordListStudyText.started,WordListStudy.stopped,WordListStudyText.stopped,WordListDistraction.started,WordListDistractionText.started,WordListDistractionText.stopped,WordListDistraction.stopped,WordListTest.started,WordListTest.stopped,BreakOrFinish.started,BreakOrFinish.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0.010266699944622815,0.01585610001347959,0.01585610001347959,0.9694915999425575,1,[0.9534980999305844],[0.953501999960281],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2026-03-07_12h45.33.471,experiment,,2026.1.1,144.6757166131656,2026-03-07 12h45.33.611066 -0500,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9703267000149935,0.9810100999893621,0.9810100999893621,0.9810100999893621,1.8167644999921322,1,[0.8280875999480486],[0.8280912999762222],0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2026-03-07_12h45.33.471,experiment,,2026.1.1,144.6757166131656,2026-03-07 12h45.33.611066 -0500,
0,0,0,new2.png,old2.png,1,[0.9810918999137357],[0.9810958999441937],[0.04833333333333333],[-0.03166666666666667],[1],[0],[0],[0.8976895000087097],[0],['ScreenshotLeft'],,,,,,0,0,0,0,0,0,0,1,,,,,2.821801899932325,,,,,,,,,,,,,,,,,,,,,1.817327699973248,1.821364999981597,1.821364999981597,2.8025759999873117,1,[0.9810918999137357],[0.9810958999441937],2.815167799941264,2.821801899932325,2.821801899932325,0.012557100038975477,3.7129633999429643,[0.04833333333333333],[-0.03166666666666667],[1],[0],[0],[0.8976895000087097],[0],['ScreenshotLeft'],,,,,,,,,,,,,,,,,,,,pilot,001,2026-03-07_12h45.33.471,experiment,,2026.1.1,144.6757166131656,2026-03-07 12h45.33.611066 -0500,
1,1,0,new1.png,old1.png,1,[0.9810918999137357],[0.9810958999441937],[0.04833333333333333],[-0.03166666666666667],[1],[0],[0],[0.7199992999667302],[0],['ScreenshotLeft'],,,,,,0,0,0,0,0,1,1,0,,,,,3.7250166999874637,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.7154174000024796,3.7250166999874637,3.7250166999874637,0.002406099927611649,4.435518099926412,[0.04833333333333333],[-0.03166666666666667],[1],[0],[0],[0.7199992999667302],[0],['ScreenshotLeft'],,,,,,,,,,,,,,,,,,,,pilot,001,2026-03-07_12h45.33.471,experiment,,2026.1.1,144.6757166131656,2026-03-07 12h45.33.611066 -0500,
0,0,0,,,1,[0.9810918999137357],[0.9810958999441937],,,,,,,,,apple,banana,1,[4.04358489997685],[4.043589000008069],0,0,0,0,,,,,0,0,0,0,8.50254659994971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.436574699939229,4.446751400013454,4.446751400013454,8.49054129992146,1,[4.04358489997685],[4.043589000008069],8.494473799946718,8.50254659994971,9.491367899929173,,,,,,,,,,pilot,001,2026-03-07_12h45.33.471,experiment,,2026.1.1,144.6757166131656,2026-03-07 12h45.33.611066 -0500,
1,1,0,,,1,[0.9810918999137357],[0.9810958999441937],,,,,,,,,muffin,cupcake,1,[4.04358489997685],[4.043589000008069],0,0,0,0,,,,,0,1,1,1,9.496424899902195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.492870699963532,9.496424899902195,10.483440999989398,10.489463599980809,,,,,,,,,pilot,001,2026-03-07_12h45.33.471,experiment,,2026.1.1,144.6757166131656,2026-03-07 12h45.33.611066 -0500,
2,2,0,,,1,[0.9810918999137357],[0.9810958999441937],,,,,,,,,orange,tangerine,1,[4.04358489997685],[4.043589000008069],0,0,0,0,,,,,0,2,2,2,10.489463599980809,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.484629199956544,10.489463599980809,11.47712880000472,11.482362799928524,,,,,,,,,pilot,001,2026-03-07_12h45.33.471,experiment,,2026.1.1,144.6757166131656,2026-03-07 12h45.33.611066 -0500,
3,3,0,,,1,[0.9810918999137357],[0.9810958999441937],,,,,,,,,cat,dog,1,[4.04358489997685],[4.043589000008069],0,0,0,0,,,,,0,3,3,3,11.482362799928524,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.478491799905896,11.482362799928524,12.470282599912025,12.475747799966484,,,,,,,,,pilot,001,2026-03-07_12h45.33.471,experiment,,2026.1.1,144.6757166131656,2026-03-07 12h45.33.611066 -0500,
4,4,0,,,1,[0.9810918999137357],[0.9810958999441937],,,,,,,,,pizza,beer,1,[4.04358489997685],[4.043589000008069],0,0,0,0,,,,,0,4,4,4,12.475747799966484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.472785599995404,12.482806999934837,13.470719899982214,13.475944499950856,,,,,,,,,pilot,001,2026-03-07_12h45.33.471,experiment,,2026.1.1,144.6757166131656,2026-03-07 12h45.33.611066 -0500,
0,0,0,,,1,[0.9810918999137357],[0.9810958999441937],,,,,,,,,,,1,[4.04358489997685],[4.043589000008069],0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.471345599973574,13.48268149991054,14.475710599916056,14.470391999930143,14.470408299937844,14.470430999994278,14.470444199978374,14.47046809992753,pilot,001,2026-03-07_12h45.33.471,experiment,,2026.1.1,144.6757166131656,2026-03-07 12h45.33.611066 -0500,
