questionTextquestionWidthtyperesponseWidthoptionslayout
Have you read and understood the participant information sheet?0.05radio0.05yes,nohoriz
Have you had the opportunity to ask questions and discuss the study?0.05radio0.05yes,nohoriz
Have all the questions been answered satisfactorily?0.05radio0.05yes,nohoriz
Have you received enough information about the study?0.05radio0.05yes,nohoriz
Do you understand that you are free to withdraw from the study at any time without having to give a reason?0.05radio0.05yes,nohoriz
